플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,1667,1821,F,1000,0.9631832397500476,0.9593900869397213,0.9666282833834712,0.036816760249952396,0.033371716616528824,0.040609913060278724,26658.41665397666,24121.07475258962,29462.66639386469,0.00003613054939653992,0.00003751160517070047,C,27.410207939508506,145
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,S/W 오류,교정/조정/재설정 작업,2985,295,F,5000,0.8289810144538827,0.8127858488757821,0.8439126402606804,0.17101898554611727,0.15608735973931964,0.1872141511242179,,,,0.0000310964085082008,0.000037511605170700485,F,72.58979206049149,384
평택기지본부,1공장 기화해수펌프,000000000012112920,전송/통신 불량,노후/장기사용,부품/자재 교체,63,3625,F,10000,0.6872095223249886,0.6606208361327257,0.7121885443917525,0.31279047767501145,0.2878114556082475,0.3393791638672743,,,,0.00002577833227100066,0.0000375116051707005,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,이완/풀림/탈락,노후/장기사용,부품/자재 교체,5890,119,F,50000,0.1532660071288413,0.1258233768461453,0.1832208605790091,0.8467339928711587,0.8167791394209909,0.8741766231538547,,,,0.000005749253945506876,0.00003751160517070058,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,직접입력,보강/개조/추가설치,776,196,F,100000,0.02349046894121809,0.01583152216096706,0.033569883751312646,0.9765095310587819,0.9664301162486874,0.9841684778390329,,,,0.0000008811651961975784,0.0000375116051707006,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,설정값불량/점검불량,청소/윤활/코팅 작업,9484,488,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,3564,239,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,4742,1675,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,변형/변색/부식 ,노후/장기사용,밀봉/조임 작업,7990,111,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,정지(Trip)/기동불량/전원불량,이물질 ,청소/윤활/코팅 작업,5726,386,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,변형/변색/부식 ,부식 ,,3038,*,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,외부 LEAK,마모(Wear out),분해점검,1172,1047,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,균열/파손/소손/절단,,,3880,*,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,균열/파손/소손/절단,노후/장기사용,부품/자재 교체,4092,772,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112920,,,,26256,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112921,균열/파손/소손/절단,부식 ,용접작업,12226,48,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112921,오동작/계기불량/작동불량,설계/설치불량/연약지반 ,청소/윤활/코팅 작업,17116,488,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112921,,,,62856,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,16620,405,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,외부 LEAK,부식 ,용접작업,5191,25,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,외부 LEAK,노후/장기사용,부품/자재 교체,1096,479,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,외부 LEAK,이완/밀봉/고정 불량,부품/자재 교체,5342,190,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,진동/소음,노후/장기사용,밀봉/조임 작업,44,207,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,외부 LEAK,부식 ,용접작업,32191,81,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112922,,,,13992,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112923,,,,77856,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112924,오동작/계기불량/작동불량,S/W 오류,교정/조정/재설정 작업,27263,309,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112924,진동/소음,이물질 ,분해점검,2515,1581,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112924,정지(Trip)/기동불량/전원불량,,,34525,*,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112924,,,,34320,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112925,핀홀(Pinhole),부식 ,용접작업,6368,893,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112925,,,,39744,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,외부 LEAK,이물질 ,분해점검,44292,411,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,오동작/계기불량/작동불량,단선/단락/오결선 ,교정/조정/재설정 작업,3127,338,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,769,152,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,균열/파손/소손/절단,이물질 ,부품/자재 교체,17299,278,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,오동작/계기불량/작동불량,직접입력,직접입력,2590,2054,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112926,,,,26016,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,2172,266,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,이완/풀림/탈락,과부하 (Over Load),부품/자재 교체,13943,16,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,균열/파손/소손/절단,과부하 (Over Load),부품/자재 교체,126,100,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,11698,1558,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,765,1244,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,4389,259,F,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000012112927,정지(Trip)/기동불량/전원불량,직접입력,보강/개조/추가설치,19655,136,F,,,,,,,,,,,,,,,
