플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
대전충청지역본부,아산GS,000000000014036750,,,,57552,,C
대전충청지역본부,아산GS,000000000014036751,,,,57552,,C
대전충청지역본부,아산GS,000000000014036752,,,,57552,,C
대전충청지역본부,아산GS,000000000014036753,,,,57552,,C
경기지역본부,안중GS,000000000043002642,외부 LEAK,노후/장기사용,,61427,28,F
경기지역본부,안중GS,000000000043002642,,,,28704,,C
경기지역본부,안중GS,000000000043002643,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,36679,27,F
경기지역본부,안중GS,000000000043002643,외부 LEAK,노후/장기사용,,6439,152,F
경기지역본부,안중GS,000000000043002643,이완/풀림/탈락,,,175,79,F
경기지역본부,안중GS,000000000043002643,,,,30072,,C
경기지역본부,목감GS,000000000043002645,,,,68280,,C
경기지역본부,평택GS,000000000043002664,,,,73752,,C
경기지역본부,평택GS,000000000043002666,,,,40080,,C
경기지역본부,평촌GS,000000000043002685,외부 LEAK,부품/자재 불량,부품/자재 교체,29891,122,F
경기지역본부,평촌GS,000000000043002685,이완/풀림/탈락,노후/장기사용,,5893,170,F
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,교정/조정/재설정 작업,465,31,F
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,,857,143,F
경기지역본부,평촌GS,000000000043002685,,,,55440,,C
경기지역본부,평촌GS,000000000043002688,외부 LEAK,온도변화/열팽창 ,밀봉/조임 작업,8429,175,F
경기지역본부,평촌GS,000000000043002688,균열/파손/소손/절단,이완/밀봉/고정 불량,밀봉/조임 작업,14632,113,F
경기지역본부,평촌GS,000000000043002688,,,,67968,,C
인천지역본부,영종GS,000000000043002694,,,,21696,,C
인천지역본부,영종GS,000000000043002696,,,,18576,,C
인천지역본부,영종GS,000000000043002697,,,,18576,,C
인천지역본부,원창GS,000000000043002700,,,,29832,,C
인천지역본부,원창GS,000000000043002701,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,8177,239,F
인천지역본부,원창GS,000000000043002701,,,,19176,,C
서울지역본부,방배GS,000000000043002715,,,,28080,,C
서울지역본부,대치GS,000000000043002718,,,,80928,,C
대전충청지역본부,중촌GS,000000000043002759,,,,75552,,C
대전충청지역본부,중촌GS,000000000043002760,,,,75864,,C
부산경남지역본부,울산GS,000000000043002798,,,,11952,,C
부산경남지역본부,양산GS,000000000043002809,,,,27552,,C
부산경남지역본부,장림GS,000000000043002818,,,,7536,,C
부산경남지역본부,장림GS,000000000043002819,,,,7536,,C
부산경남지역본부,장림GS,000000000043002820,,,,7536,,C
부산경남지역본부,창원GS,000000000043002827,,,,72816,,C
부산경남지역본부,창원GS,000000000043002828,,,,82440,,C
부산경남지역본부,정관GS,000000000043002832,,,,7920,,C
부산경남지역본부,정관GS,000000000043002833,,,,7920,,C
대구경북지역본부,중리GS,000000000043002839,,,,80640,,C
전북지역본부,부곡GS,000000000043002856,,,,51552,,C
인천지역본부,송도GS,000000000044000117,,,,10944,,C
전북지역본부,군산GS,000000000044000215,,,,92376,,C
전북지역본부,군산GS,000000000044000216,,,,92376,,C
전북지역본부,군산GS,000000000044000217,외부 LEAK,설계/설치불량/연약지반 ,부품/자재 교체,76063,10,F
전북지역본부,군산GS,000000000044000217,,,,16296,,C
서울지역본부,교하GS,000000000044000268,,,,94872,,C
서울지역본부,교하GS,000000000044000269,,,,94872,,C
서울지역본부,교하GS,000000000044000270,,,,94872,,C
서울지역본부,교하GS,000000000044000271,,,,94872,,C
경기지역본부,목감GS,000000000044000306,,,,91176,,C
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,23902,134,F
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,2670,123,F
경기지역본부,목감GS,000000000044000307,,,,64296,,C
경기지역본부,목감GS,000000000044000308,이완/풀림/탈락,이완/밀봉/고정 불량,,23081,117,F
경기지역본부,목감GS,000000000044000308,,,,67944,,C
경기지역본부,목감GS,000000000044000309,,,,91176,,C
인천지역본부,서원창GS,000000000044000344,,,,85368,,C
인천지역본부,서원창GS,000000000044000345,,,,85368,,C
인천지역본부,서원창GS,000000000044000346,,,,85368,,C
인천지역본부,서원창GS,000000000044000347,,,,85368,,C
강원지역본부,영월GS,000000000044000586,,,,88272,,C
강원지역본부,영월GS,000000000044000587,,,,88272,,C
강원지역본부,영월GS,000000000044000588,,,,88272,,C
