플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
평택기지본부,2공장 2차펌프,000000000014006641,,,,92664,,C,1000,*,0.9985098070444066,*,*,*,0.0014901929555933835,*,670553.9135567874,*,0.000001489082066120618,0.000001491304397428311
인천기지본부,2공장 2차펌프,000000000014007137,,,,99936,,C,5000,*,0.9925712089047883,*,*,*,0.007428791095211662,,,,0.0000014802258086004456,0.000001491304397428311
인천기지본부,2공장 2차펌프,000000000014007138,,,,99936,,C,10000,*,0.985197604746713,*,*,*,0.01480239525328697,,,,0.0000014692295202946122,0.000001491304397428311
인천기지본부,2공장 2차펌프,000000000014007139,,,,99936,,C,50000,*,0.9281469384609617,*,*,*,0.07185306153903825,,,,0.0000013841496107864563,0.000001491304397428311
인천기지본부,2공장 2차펌프,000000000014007142,,,,99936,,C,100000,*,0.8614567393744563,*,*,*,0.13854326062554367,,,,0.0000012846942236233812,0.000001491304397428311
인천기지본부,2공장 2차펌프,000000000014018853,,,,86112,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014018854,,,,86112,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014018855,,,,86112,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014018856,,,,86112,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014018857,,,,86112,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014018858,,,,86112,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014023292,,,,83928,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014023293,,,,83928,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014023294,,,,83928,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014037916,,,,56496,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014037917,,,,56496,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014037918,,,,56496,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014037919,,,,56496,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014037920,,,,56496,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014050048,,,,48120,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051841,,,,47376,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051842,,,,47376,,C,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014051856,,,,47376,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014062565,,,,30792,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000014062566,,,,30792,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062572,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062573,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062574,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062579,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 Drain 설비,000000000014062593,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 Drain 설비,000000000014062594,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 Drain 설비,000000000014062595,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 Drain 설비,000000000014062596,,,,17448,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062616,,,,17088,,C,,,,,,,,,,,,
인천기지본부,1공장 2차펌프,000000000014062617,,,,17088,,C,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000034029761,,,,39864,,C,,,,,,,,,,,,
