플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
평택기지본부,2공장 2차펌프,000000000012106871,고착 (Stick),부식 ,청소/윤활/코팅 작업,538,486,F,1000,0.9966402200095507,0.9950693644485079,0.9977111907858801,0.003359779990449341,0.0022888092141198912,0.004930635551492091,297138.2562495828,202313.1989509133,436408.221435244,0.0000033541295980831797,0.00000336543672505113,고착 (Stick),7.6923076923076925,0.00000025887974808085616,2,C,84.97109826589596,147
평택기지본부,2공장 2차펌프,000000000012106871,내부 LEAK,설정값불량/점검불량,교정/조정/재설정 작업,11676,221,F,5000,0.9833136026442253,0.9755887381691658,0.988608220640092,0.016686397355774707,0.011391779359907983,0.024411261830834197,,,,0.0000033092797105812096,0.00000336543672505113,내부 LEAK,15.384615384615385,0.0000005177594961617123,4,F,15.028901734104046,26
평택기지본부,2공장 2차펌프,000000000012106871,,,,66264,*,C,10000,0.9669056411451654,0.9517733860425052,0.9773462139171688,0.03309435885483458,0.022653786082831195,0.048226613957494835,,,,0.000003254059754369049,0.0000033654367250511304,오동작/계기불량/작동불량,53.84615384615385,0.000001812158236565993,14,,,
평택기지본부,1공장 2차펌프,000000000012106991,,,,53904,*,C,50000,0.8451240680970127,0.7810301215266113,0.8917480628225957,0.15487593190298732,0.10825193717740433,0.21896987847338867,,,,0.0000028442115759982986,0.00000336543672505113,이완/풀림/탈락,7.6923076923076925,0.00000025887974808085616,2,,,
인천기지본부,2공장 2차펌프,000000000012206731,,,,87384,*,C,100000,0.7142346904768441,0.6100080507318734,0.795214607547852,0.28576530952315593,0.204785392452148,0.38999194926812664,,,,0.000002403711657636298,0.000003365436725051131,접점불량/스파크발생 ,11.538461538461538,0.00000038831962212128424,3,,,
인천기지본부,2공장 2차펌프,000000000012206782,,,,19128,*,C,,,,,,,,,,,,,진동/소음,3.8461538461538463,0.00000012943987404042808,1,,,
인천기지본부,2공장 2차펌프,000000000012206834,,,,54216,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012206845,,,,82128,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012206889,,,,78912,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012206890,진동/소음,부품/자재 불량,교정/조정/재설정 작업,1308,21,F,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012206890,,,,85080,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012207199,,,,89640,*,C,,,,,,,,,,,,,,,,,,,
인천기지본부,2공장 2차펌프,000000000012207219,,,,82248,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303201,,,,89448,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303440,,,,66696,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303638,,,,36648,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303692,,,,82344,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303718,,,,32136,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303798,,,,89688,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303799,,,,69000,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012303882,,,,13056,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012309781,,,,62688,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012311828,,,,80616,*,C,,,,,,,,,,,,,,,,,,,
통영기지본부,1공장 2차펌프,000000000012312084,,,,5568,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003681,내부 LEAK,마모(Wear out),직접입력,2121,1969,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003681,내부 LEAK,마모(Wear out),직접입력,141,1669,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003681,,,,84312,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003683,고착 (Stick),노후/장기사용,직접입력,14292,359,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003683,,,,68064,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003685,내부 LEAK,노후/장기사용,직접입력,45357,16,F,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003685,,,,13752,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,1공장 2차펌프,000000000014003686,,,,61656,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014003688,,,,61368,*,C,,,,,,,,,,,,,,,,,,,
평택기지본부,2공장 2차펌프,000000000014003689,접점불량/스파크발생 ,절연/접지 불량,청소/윤활/코팅 작업,525,300,F,,,,,,,,,,,,,,,,,,,
